Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
London m5,London,1834.??.??,75,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Bb2', 'Nf6'], ['e5', 'dxe5'], ['d5', 'Ne7'], ['Bxe5', 'O-O'], ['Bxf6', 'gxf6'], ['Nc3', 'f5'], ['Qd2', 'Kh8\n'], ['Rae1', 'Ng6'], ['Qh6', 'Qf6'], ['Ne5', 'Qg7'], ['Nxg6+', 'fxg6'], ['Qxg7+', 'Kxg7'], ['Re7+', 'Kh6\n'], ['Nb5', 'c6'], ['dxc6', 'bxc6'], ['Nd6', 'Bc5'], ['Nf7+', 'Kg7'], ['Rc7', 'Bb6'], ['Re7', 'Kf6'], ['Rfe1', 'Ba5\n'], ['R1e2', 'Rb8'], ['h4', 'Rb1+'], ['Kh2', 'Bb4'], ['Rc7', 'Rc1'], ['Rxc6+', 'Kg7'], ['Ng5', 'Bd7'], ['Ne6+', 'Kh6\n'], ['Ra6', 'Rxc4'], ['Nxf8', 'Bxf8'], ['Rxa7', 'Rxh4+'], ['Kg3', 'f4+'], ['Kf3', 'Bc6+'], ['Re4', 'Bxe4+\n'], ['Kxe4', 'Bc5']]",0-1
London m5,London,1834.??.??,76,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['c3', 'f6'], ['Bd3', 'Nh6'], ['Bc2', 'Qb6'], ['O-O', 'Nf7'], ['d4', 'Bd7\n'], ['a3', 'a5'], ['Kh1', 'Be7'], ['h3', 'f5'], ['b3', 'h5'], ['Be3', 'Rc8'], ['Nbd2', 'cxd4'], ['cxd4', 'g5\n'], ['fxg5', 'Ncxe5'], ['Nxe5', 'Nxe5'], ['Re1', 'Ng6'], ['Nf3', 'Kf7'], ['Ra2', 'Bd6'], ['Ne5+', 'Bxe5\n'], ['dxe5', 'Qc7'], ['Bd4', 'Qd8'], ['Qd2', 'h4'], ['b4', 'a4'], ['Qe3', 'Re8'], ['Bb1', 'Qe7'], ['Rf2', 'Kg8\n'], ['g4', 'hxg3'], ['Qxg3', 'Rc4'], ['Bc5', 'Qh7'], ['Rh2', 'Bc6'], ['Kg1', 'Qh5'], ['Rd2', 'Nh4'], ['Kf2', 'd4\n'], ['Rd3', 'Rd8'], ['g6', 'Rd7'], ['Red1', 'Be4'], ['R3d2', 'Bxb1'], ['Rxb1', 'Rc3'], ['Rd3', 'Rc2+'], ['Kf1', 'Rg2\n'], ['Qe1', 'Qg5'], ['Qxh4', 'Qxh4'], ['Kxg2', 'Qe4+'], ['Rf3', 'Qxb1'], ['h4', 'Qe4'], ['h5', 'd3'], ['h6', 'd2\n'], ['h7+', 'Kh8'], ['Bf8', 'Qxf3+'], ['Kxf3', 'd1=Q+']]",0-1
London m6,London,1834.??.??,77,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Bb2', 'Nf6'], ['d5', 'Na5'], ['Bd3', 'O-O'], ['Nc3', 'Bg4'], ['h3', 'Bh5'], ['Kh1', 'Qd7'], ['Kh2', 'Rae8\n'], ['g4', 'Nxg4+'], ['hxg4', 'Qxg4'], ['Be2', 'Qf4+'], ['Kh1', 'Bxf3+'], ['Bxf3', 'f5'], ['Bg2', 'Rf6'], ['Qd3', 'Rh6+\n'], ['Bh3', 'fxe4'], ['Nxe4', 'Rxe4'], ['Bc1', 'Re3'], ['Bxe3', 'Rxh3+'], ['Kg2', 'Qh2+']]",0-1
London m6,London,1834.??.??,78,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e4', 'e5'], ['d5', 'f5'], ['Nc3', 'Nf6'], ['Bxc4', 'Bc5'], ['Nf3', 'fxe4'], ['Ng5', 'O-O\n'], ['O-O', 'Bd6'], ['Ne6', 'Bxe6'], ['dxe6', 'Kh8'], ['Bg5', 'Nc6'], ['Nxe4', 'Qe7'], ['Kh1', 'Rad8'], ['Qa4', 'a6\n'], ['Bd5', 'Nd4'], ['Bxf6', 'gxf6'], ['Bxb7', 'Qxe6'], ['Rae1', 'f5'], ['Nc3', 'Qf6'], ['Qxa6', 'e4'], ['Qc4', 'Bxh2\n'], ['Re3', 'Nf3'], ['Rxf3', 'exf3'], ['Kxh2', 'Rd4'], ['Qc5', 'fxg2'], ['Bxg2', 'Rg8'], ['f4', 'Qg7'], ['Rf2', 'Rxf4\n'], ['Re2', 'Rg4'], ['Bh3', 'Rf4'], ['Rg2', 'Qd4'], ['Qxd4+', 'Rxd4'], ['Rf2', 'f4'], ['a4', 'Kg7'], ['Bg2', 'Rf8\n'], ['a5', 'Rd6'], ['Bb7', 'Rf5'], ['a6', 'f3'], ['Kg1', 'Rg6+'], ['Kf1', 'Rh6'], ['Ke1', 'Rh1+'], ['Kd2', 'Ra1\n'], ['Kd3', 'Kf6'], ['Nd5+', 'Kg5'], ['Ne3', 'Rf6'], ['Nc4', 'h5'], ['Na3', 'Rd1+'], ['Kc2', 'Rd8'], ['a7', 'Kg4\n'], ['a8=Q', 'Rxa8'], ['Bxa8', 'Kg3'], ['Rf1', 'Kg2'], ['Rd1', 'c6'], ['Bb7', 'f2'], ['Nc4', 'Re6'], ['Nd2', 'h4\n'], ['b4', 'h3'], ['b5', 'h2'], ['Bxc6+', 'Kg3'], ['Bh1', 'Rb6'], ['Rb1', 'Rb8'], ['b6', '']]",1-0
London m6,London,1834.??.??,79,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Bb2', 'Nf6'], ['d5', 'Na5'], ['Bd3', 'O-O'], ['h3', 'Nh5'], ['Qd2', 'f5'], ['exf5', 'Bxf5'], ['Nc3', 'Bxh3\n'], ['Bxh7+', 'Kh8'], ['Bc2', 'Rxf3'], ['gxf3', 'Qh4'], ['Ne2', 'Rf8'], ['Qh6+', 'Kg8'], ['Bh7+', 'Kf7'], ['Bg6+', 'Ke7\n'], ['Qxh5', 'Qxh5'], ['Bxh5', 'Bxf1'], ['Kxf1', 'Rf5'], ['Bg4', 'Rxd5'], ['Nf4', 'Rd2'], ['Re1+', 'Kf8\n'], ['Re2', 'Rxe2'], ['Kxe2', 'Nc4'], ['Ne6+', 'Kf7'], ['Bxg7', 'c5'], ['f4', 'd5'], ['f5', 'Nd6'], ['Be5', 'Ne8\n'], ['Bh5+', 'Ke7'], ['Bxe8', 'Kxe8'], ['f6', 'c4'], ['Ng5', 'Bc5'], ['f7+', 'Kd7'], ['Bg7', '']]",1-0
London m6,London,1834.??.??,80,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['h3', 'h6'], ['Bb2', 'Nge7'], ['d5', 'Na5'], ['Bd3', 'O-O'], ['Nc3', 'Ng6'], ['Qd2', 'c5'], ['Na4', 'f6'], ['Nxb6', 'axb6\n'], ['Rae1', 'Ne5'], ['Nxe5', 'fxe5'], ['f4', 'exf4'], ['Rxf4', 'Rxf4'], ['Qxf4', 'Qe7'], ['Re3', 'Bd7'], ['Rg3', 'g5\n'], ['h4', 'Rf8'], ['Qd2', 'g4'], ['Qxh6', 'Qh7'], ['Qg5+', 'Kf7'], ['e5', 'Qg8'], ['e6+', 'Ke8'], ['Bg6+', '']]",1-0
London m6,London,1834.??.??,81,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'Nc6'], ['c3', 'e6'], ['Nf3', 'd5'], ['e5', 'f6'], ['Bd3', 'Nh6'], ['Bc2', 'Qb6'], ['O-O', 'Bd7'], ['Kh1', 'Be7\n'], ['d4', 'f5'], ['a3', 'a5'], ['h3', 'Nf7'], ['b3', 'h5'], ['Re1', 'g6'], ['Be3', 'Nh6'], ['Nbd2', 'cxd4'], ['cxd4', 'Kf7\n'], ['Ra2', 'Rac8'], ['Qe2', 'Kg7'], ['Ng5', 'Nf7'], ['Nxf7', 'Kxf7'], ['Qf2', 'Kg7'], ['Nf3', 'Nd8'], ['Nh4', 'Nf7\n'], ['Qg3', 'Rh6'], ['Bf2', 'Bxa3'], ['Bxf5', 'exf5'], ['Rxa3', 'Be6'], ['Rea1', 'Qb4'], ['Ra4', 'Qc3'], ['Qxc3', 'Rxc3\n'], ['Rxa5', 'Rxb3'], ['Nf3', 'Rh8'], ['Ra8', 'Rc8'], ['Rxc8', 'Bxc8'], ['Rc1', 'Be6'], ['Rc7', 'Rb6'], ['Ng5', 'Kf8\n'], ['Nxe6+', 'Rxe6'], ['Rxb7', 'Nd8'], ['Rb8', 'Re8'], ['Rb5', 'Ne6'], ['g3', 'Rd8'], ['Kg2', 'h4'], ['Kf3', 'Nc7\n'], ['Rb6', 'hxg3'], ['Kxg3', 'Kg7'], ['h4', 'Kf7']]",1-0
London m6,London,1834.??.??,82,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Bb2', 'Nf6'], ['e5', 'dxe5'], ['d5', 'Na5'], ['Bxe5', 'O-O'], ['Bd3', 'Nxd5'], ['Nbd2', 'Bg4'], ['h3', 'Bh5\n'], ['Qc2', 'Bg6'], ['Bxg6', 'fxg6'], ['Rad1', 'Qe8'], ['Rfe1', 'Qc6'], ['Qb2', 'Rf7'], ['Bd4', 'Nf4'], ['Ne4', 'Nxh3+\n'], ['Kh2', 'Rxf3'], ['gxf3', 'Nf4'], ['Bxg7', 'Nh5'], ['Nf6+', 'Nxf6'], ['Qxf6', 'Qxf6'], ['Bxf6', 'Rf8\n'], ['Rd8', 'Bxf2'], ['Rxf8+', 'Kxf8'], ['Re7', 'Bd4'], ['Bg5', 'h6'], ['Re4', 'Bg7'], ['Bd8', 'Nc6'], ['Bxc7', 'Kf7\n'], ['Kg3', 'g5'], ['a4', 'h5'], ['a5', 'Kf6'], ['Rc4', 'Ke6'], ['Rc5', 'Bf6'], ['Rb5', 'b6'], ['axb6', 'axb6\n'], ['Kg2', 'Ne5'], ['Bxb6', 'Kf5'], ['Be3', 'Be7'], ['Kf2', 'Bf6'], ['Bd2', 'Be7'], ['Ke3', 'Bf6'], ['Be1', 'h4\n'], ['Bc3', 'Bg7'], ['Kf2', 'Bf6'], ['Kg2', 'Bg7'], ['Bd4', 'Bf6'], ['Kh3', 'Kf4'], ['Kg2', 'Kf5'], ['Bg1', 'Kg6\n'], ['Bh2', 'Nd3'], ['Rd5', 'Nf4+'], ['Bxf4', 'gxf4'], ['Kh3', '']]",1-0
London m6,London,1834.??.??,83,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Bb6'], ['d4', 'exd4'], ['cxd4', 'd6\n'], ['h3', 'Nf6'], ['e5', 'dxe5'], ['Ba3', 'Bxd4'], ['Qb3', 'Qd7'], ['Ng5', 'Nd8'], ['Nc3', 'c5'], ['Nxf7', 'Rf8\n'], ['Nxe5', 'Bxe5'], ['Rfe1', 'Nc6'], ['Bxc5', 'Qf5'], ['Nb5', 'Bd7'], ['Nd6+', '']]",1-0
